sector,class,sub_class,fuel,year,pm10,pm2_5,co,nox,so2
Energy (combustion),Commercial/institutional,NA,Lignite coal,2015,27.97,20.98,357.86,66.5,167.59
Energy (combustion),Commercial/institutional,NA,Lignite coal,2016,39.89,29.92,510.41,94.84,239.03
Energy (combustion),Commercial/institutional,NA,Lignite coal,2017,46.97,35.23,601.04,111.69,281.48
Energy (combustion),Commercial/institutional,NA,Lignite coal,2018,23.5,17.62,300.63,55.86,140.79
Energy (combustion),Commercial/institutional,NA,Lignite coal,2019,16.52,12.39,211.33,39.27,98.97
Energy (combustion),Commercial/institutional,NA,Natural gas,2012,7.65,7.65,229.03,584.41,3.16
Energy (combustion),Commercial/institutional,NA,Natural gas,2013,7.55,7.55,226.03,576.77,3.12
Energy (combustion),Commercial/institutional,NA,Natural gas,2014,8.63,8.63,258.41,659.39,3.56
Energy (combustion),Commercial/institutional,NA,Natural gas,2015,8.76,8.76,262.22,669.12,3.62
Energy (combustion),Commercial/institutional,NA,Natural gas,2016,7.86,7.86,235.36,600.56,3.25
Energy (combustion),Commercial/institutional,NA,Natural gas,2017,7.84,7.84,234.62,598.68,3.24
Energy (combustion),Commercial/institutional,NA,Natural gas,2018,8.36,8.36,250.18,638.39,3.45
Energy (combustion),Commercial/institutional,NA,Natural gas,2019,8.27,8.27,247.58,631.76,3.41
Energy (combustion),Commercial/institutional,NA,Petrol,2012,3.26,3.26,11.29,87.78,0.08
Energy (combustion),Commercial/institutional,NA,Petrol,2013,5.84,5.84,20.25,157.36,0.14
Energy (combustion),Commercial/institutional,NA,Petrol,2014,4.75,4.75,16.46,127.97,0.11
Energy (combustion),Commercial/institutional,NA,Petrol,2015,5.62,5.62,19.46,151.26,0.14
Energy (combustion),Commercial/institutional,NA,Petrol,2016,9,9,31.2,242.53,0.22
Energy (combustion),Commercial/institutional,NA,Petrol,2017,11.82,11.82,40.97,318.43,0.29
Energy (combustion),Commercial/institutional,NA,Petrol,2018,10.28,10.28,35.62,276.85,0.25
Energy (combustion),Commercial/institutional,NA,Petrol,2019,14.19,14.19,49.17,382.2,0.34
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2012,37.9,28.42,687.96,127.84,322.18
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2013,54.19,40.64,983.67,182.79,460.66
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2014,42.08,31.56,763.85,141.94,357.72
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2015,29.1,21.82,528.25,98.16,247.39
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2016,25.23,18.92,457.95,85.1,214.47
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2017,17.43,13.08,316.5,58.81,148.22
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2018,18.19,13.64,330.14,61.35,154.61
Energy (combustion),Commercial/institutional,NA,Sub-bituminous coal,2019,28.08,21.06,509.67,94.71,238.69
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2012,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2013,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2014,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2015,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2016,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2017,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2018,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Diesel,2019,NA,NA,NA,NA,NA
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2012,7.59,7.59,227.16,579.66,3.13
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2013,6.02,6.02,180.15,459.7,2.48
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2014,6.46,6.46,193.42,493.55,2.67
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2015,5.94,5.94,177.89,453.93,2.45
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2016,5.24,5.24,157,400.63,2.17
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2017,5.76,5.76,172.48,440.13,2.38
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2018,6.99,6.99,209.2,533.82,2.89
Energy (combustion),Energy industries,Manufacture of solid fuels and other,Natural gas,2019,6.36,6.36,190.51,486.14,2.63
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2012,10.93,10.93,187.61,1776.03,4181.67
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2013,11.07,11.07,190.08,1799.44,4236.79
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2014,10.66,10.66,183.03,1732.69,4079.62
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2015,11.54,11.54,198.07,1875.04,4414.78
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2016,9.51,9.51,163.24,1545.38,3638.6
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2017,9.56,9.56,164.05,1553.01,3656.57
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2018,7.99,7.99,137.09,1297.78,3055.63
Energy (combustion),Energy industries,Petroleum refining,Crude oil,2019,8.88,8.88,152.48,1443.49,3398.7
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2012,2.51,2.51,75.08,191.58,1.04
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2013,1.97,1.97,59.05,150.67,0.81
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2014,2.03,2.03,60.86,155.3,0.84
Energy (combustion),Residential,NA,Diesel,2018,2.18,2.18,7.6,59.05,0.05
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2015,1.98,1.98,59.25,151.2,0.82
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2016,2.88,2.88,86.27,220.14,1.19
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2017,3.12,3.12,93.32,238.13,1.29
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2018,3.79,3.79,113.43,289.43,1.56
Energy (combustion),Energy industries,Petroleum refining,Natural gas,2019,3.92,3.92,117.39,299.54,1.62
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2012,0.81,0.81,24.39,62.24,0.34
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2013,0.85,0.85,25.47,64.99,0.35
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2014,0.79,0.79,23.64,60.33,0.33
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2015,0.73,0.73,21.91,55.9,0.3
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2016,0.57,0.57,16.94,43.22,0.23
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2017,0.63,0.63,18.71,47.76,0.26
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2018,0.62,0.62,18.62,47.51,0.26
Energy (combustion),Energy industries,Pipeline transport,Natural gas,2019,0.71,0.71,21.33,54.44,0.29
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2012,9.55,8.12,944.84,254.62,5.46
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2013,8.87,7.54,877.54,236.48,5.07
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2014,10.26,8.72,1015.16,273.57,5.87
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2015,11,9.36,1088.84,293.42,6.29
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2016,11.33,9.63,1120.89,302.06,6.48
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2017,12.04,10.24,1191.29,321.03,6.88
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2018,12.06,10.25,1193.3,321.57,6.9
Energy (combustion),Energy industries,Public electricity and heat production,Biogas,2019,12.12,10.31,1199.48,323.24,6.93
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2012,3.82,2.86,0.88,21.26,44.34
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2013,0.48,0.36,0.11,2.67,5.58
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2014,2.1,1.57,0.49,11.69,24.38
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2015,17.31,12.98,4.02,96.45,201.22
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2016,9.67,7.25,2.24,53.85,112.34
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2017,10.03,7.52,2.33,55.88,116.57
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2018,3.84,2.88,0.89,21.42,44.69
Energy (combustion),Energy industries,Public electricity and heat production,Bituminous coal,2019,0.69,0.52,0.16,3.83,7.99
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2012,0.12,0.03,0.64,2.62,0.02
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2013,0.12,0.03,0.64,2.58,0.02
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2014,0.11,0.03,0.6,2.43,0.02
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2015,0.04,0.01,0.21,0.84,0.01
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2016,0.11,0.03,0.6,2.43,0.02
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2017,0.18,0.05,0.97,3.92,0.03
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2018,0.37,0.09,1.96,7.97,0.06
Energy (combustion),Energy industries,Public electricity and heat production,Diesel,2019,0.12,0.03,0.61,2.48,0.02
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2012,8.77,6.58,1.05,25.2,52.58
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2013,7.22,5.41,0.86,20.74,43.26
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2014,6.75,5.06,0.81,19.39,40.44
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2015,6.19,4.64,0.74,17.77,37.07
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2016,2.64,1.98,0.32,7.57,15.8
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2017,6.65,4.99,0.8,19.11,39.86
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2018,8.65,6.49,1.03,24.86,51.86
Energy (combustion),Energy industries,Public electricity and heat production,Lignite coal,2019,9.43,7.07,1.13,27.09,56.52
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2012,76.05,76.05,2721.92,5730.16,27.92
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2013,72.75,72.75,2604.08,5482.1,26.71
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2014,61.34,61.34,2195.71,4622.38,22.52
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2015,59.29,59.29,2122.18,4467.59,21.77
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2016,51.96,51.96,1859.84,3915.31,19.08
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2017,62.31,62.31,2230.45,4695.52,22.88
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2018,50.99,50.99,1825.14,3842.27,18.72
Energy (combustion),Energy industries,Public electricity and heat production,Natural gas,2019,51.41,51.41,1840.15,3873.86,18.87
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2012,1492.45,1119.34,253.18,6082.13,12688.08
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2013,895.03,671.28,151.83,3647.5,7609.14
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2014,670.23,502.67,113.7,2731.37,5697.98
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2015,587.11,440.33,99.6,2392.64,4991.34
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2016,233.38,175.04,39.59,951.1,1984.11
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2017,272.95,204.71,46.3,1112.36,2320.51
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2018,512.48,384.36,86.94,2088.48,4356.84
Energy (combustion),Energy industries,Public electricity and heat production,Sub-bituminous coal,2019,897.41,673.06,152.24,3657.2,7629.38
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2012,115.46,86.59,2865.41,532.46,1341.91
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2013,265.57,199.18,6591.02,1224.76,3086.67
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2014,216.95,162.72,5384.43,1000.54,2521.6
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2015,144.51,108.38,3586.5,666.45,1679.61
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2016,133.77,100.33,3320.05,616.94,1554.83
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2017,132.35,99.26,3284.68,610.36,1538.26
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2018,109.83,82.37,2725.69,506.49,1276.48
Energy (combustion),Manufacturing industries and construction,NA,Bituminous coal,2019,150.3,112.72,3730.17,693.15,1746.89
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2012,251.64,251.64,877.24,6818.58,6.11
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2013,287.7,287.7,1002.95,7795.67,6.99
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2014,294.46,294.46,1026.54,7978.99,7.15
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2015,286.99,286.99,1000.48,7776.46,6.97
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2016,321.61,321.61,1121.18,8714.64,7.81
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2017,319.09,319.09,1112.4,8646.35,7.75
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2018,319.07,319.07,1112.31,8645.68,7.75
Energy (combustion),Manufacturing industries and construction,NA,Diesel,2019,331.4,331.4,1155.31,8979.95,8.05
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2012,19.46,19.46,70.14,545.21,1047.91
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2013,27.35,27.35,98.56,766.08,1472.43
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2014,21.31,21.31,76.82,597.11,1147.66
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2015,25.48,25.48,91.84,713.86,1372.06
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2016,21.57,21.57,77.75,604.29,1161.46
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2017,36.03,36.03,129.85,1009.26,1939.83
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2018,19.46,19.46,70.15,545.23,1047.96
Energy (combustion),Manufacturing industries and construction,NA,Fuel oil,2019,23.23,23.23,83.74,650.86,1250.97
Energy (combustion),Manufacturing industries and construction,NA,LPG,2012,2.39,2.39,92.71,236.56,0.76
Energy (combustion),Manufacturing industries and construction,NA,LPG,2013,2.35,2.35,91.19,232.7,0.75
Energy (combustion),Manufacturing industries and construction,NA,LPG,2014,2.6,2.6,100.87,257.39,0.82
Energy (combustion),Manufacturing industries and construction,NA,LPG,2015,2.69,2.69,104.57,266.83,0.85
Energy (combustion),Manufacturing industries and construction,NA,LPG,2016,2.77,2.77,107.35,273.93,0.88
Energy (combustion),Manufacturing industries and construction,NA,LPG,2017,2.89,2.89,112.29,286.55,0.92
Energy (combustion),Manufacturing industries and construction,NA,LPG,2018,2.9,2.9,112.36,286.72,0.92
Energy (combustion),Manufacturing industries and construction,NA,LPG,2019,3.02,3.02,117.02,298.6,0.96
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2012,316.88,237.66,4054.57,753.43,1898.81
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2013,278.62,208.97,3565.11,662.47,1669.59
Energy (combustion),Residential,NA,Diesel,2019,2.44,2.44,8.49,66,0.06
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2014,312.29,234.22,3995.95,742.53,1871.36
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2015,308.24,231.18,3944.12,732.9,1847.08
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2016,284.29,213.22,3637.64,675.95,1703.56
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2017,319.77,239.83,4091.57,760.3,1916.14
